timestep,q_value_mean,q_value_std,q_value_max,q_value_min,td_error_mean,td_error_std,loss,exploration_rate,learning_rate,episode_reward_mean,episode_length_mean,success_rate,collision_rate
325000,4.078585147857666,0.3906315565109253,4.873592853546143,2.7035365104675293,0.02896776795387268,0.03141492232680321,0.0011987689649686217,0.05,0.0002,19.61856433,217.37,0.0,0.0
326000,4.113345146179199,0.4113673269748688,4.885534286499023,2.668985366821289,0.032423362135887146,0.03235580027103424,0.11712001264095306,0.05,0.0002,19.61419422,222.25,0.0,0.0
327000,4.110024929046631,0.453654408454895,5.096200942993164,2.1178455352783203,0.08631083369255066,0.9587401151657104,0.0006753649795427918,0.05,0.0002,19.63756023,222.03,0.0,0.01
328000,4.142232894897461,0.4071321487426758,5.055525302886963,2.6218619346618652,0.09110967814922333,0.9557784199714661,0.12104837596416473,0.05,0.0002,19.159576769999997,221.27,0.0,0.0
329000,4.175268173217773,0.3777897357940674,5.027562141418457,2.6545250415802,0.16294541954994202,1.4065756797790527,0.23049093782901764,0.05,0.0002,19.159576769999997,221.27,0.0,0.0
330000,4.196974754333496,0.421299546957016,5.100656032562256,2.387361764907837,0.20598392188549042,1.6354272365570068,0.0013463698560371995,0.05,0.0002,18.979005649999998,239.84,0.01,0.0
331000,4.208235740661621,0.4104745388031006,5.134189605712891,2.7857046127319336,0.031990863382816315,0.031541142612695694,0.0013408783124759793,0.05,0.0002,19.02647272,243.12,0.0,0.0
332000,4.174826145172119,0.4786255955696106,5.105014324188232,2.6910784244537354,0.14119228720664978,1.7746046781539917,0.0012964981142431498,0.05,0.0002,18.539673829999998,240.05,0.01,0.0
333000,4.158675193786621,0.4594917595386505,5.097692012786865,2.0677576065063477,0.08785250782966614,0.9338882565498352,0.0007966696284711361,0.05,0.0002,18.06195223,230.9,0.0,0.0
334000,4.188271999359131,0.4861243963241577,5.192964553833008,1.9976953268051147,0.08717518299818039,0.9304372072219849,0.0013449538964778185,0.05,0.0002,18.491071859999998,230.34,0.01,0.0
335000,4.226080894470215,0.4263658821582794,5.242187976837158,2.7424020767211914,0.095851369202137,1.013329267501831,0.0004873351426795125,0.05,0.0002,19.01210272,233.24,0.0,0.0
336000,4.206955909729004,0.42819663882255554,5.139707565307617,2.0715973377227783,0.1394110918045044,1.762980580329895,0.11687634885311127,0.05,0.0002,19.074630919999993,235.27,0.0,0.0
337000,4.211836814880371,0.46242836117744446,5.2284255027771,2.146331787109375,0.15353219211101532,1.3382188081741333,0.335114449262619,0.05,0.0002,19.0348967,231.65,0.0,0.0
338000,4.267815589904785,0.4672093391418457,5.267934799194336,2.7560150623321533,0.03335895389318466,0.03826918452978134,0.11269918084144592,0.05,0.0002,19.473384640000003,217.66,0.01,0.0
339000,4.266812801361084,0.44572946429252625,5.2272796630859375,2.833324670791626,0.26489654183387756,2.2446398735046387,0.2325069010257721,0.05,0.0002,20.35281555,199.23,0.01,0.0
340000,4.241637229919434,0.4705333709716797,5.337478160858154,2.147866725921631,0.20501971244812012,2.040135622024536,0.0006874533137306571,0.05,0.0002,20.811433489999995,198.25,0.0,0.0
341000,4.268988609313965,0.46746209263801575,5.278599262237549,2.022545099258423,0.21428446471691132,1.6336376667022705,0.00097996077965945,0.05,0.0002,20.87921193,196.28,0.0,0.0
342000,4.195901393890381,0.4784269332885742,5.398127555847168,2.399461507797241,0.20895691215991974,1.9956920146942139,0.001241205958649516,0.05,0.0002,20.38529578,200.24,0.0,0.0
343000,4.22115421295166,0.4689027965068817,5.308330059051514,2.5232467651367188,0.14970701932907104,1.329424262046814,0.22300735116004944,0.05,0.0002,20.38728919,195.42,0.0,0.0
344000,4.3210883140563965,0.47643670439720154,5.456276893615723,2.6965761184692383,0.03182356059551239,0.036478281021118164,0.2358063906431198,0.05,0.0002,20.384051409999998,197.77,0.01,0.0
345000,4.326676368713379,0.4821583926677704,5.447946548461914,2.719791889190674,0.02831418812274933,0.042624425143003464,0.0009841807186603546,0.05,0.0002,20.422531969999994,193.93,0.0,0.0
346000,4.286101818084717,0.5328958034515381,5.483973979949951,2.8109238147735596,0.1473764032125473,1.299839735031128,0.0009931011591106653,0.05,0.0002,20.37842917,192.67,0.01,0.0
347000,4.314169406890869,0.5284684896469116,5.365777969360352,2.753547430038452,0.028534283861517906,0.02998095005750656,0.0009644834790378809,0.05,0.0002,21.317389489999996,195.7,0.0,0.0
348000,4.325439929962158,0.537034809589386,5.510915756225586,2.052074432373047,0.09217426180839539,0.933523952960968,0.0011313973227515817,0.05,0.0002,21.460184110000004,177.03,0.01,0.0
349000,4.354910850524902,0.49800774455070496,5.555480480194092,2.790276527404785,0.27835947275161743,1.8562613725662231,0.0012014835374429822,0.05,0.0002,21.923528780000005,175.38,0.01,0.0
350000,4.366984844207764,0.5470240712165833,5.523412227630615,1.993238925933838,0.14645540714263916,1.2946374416351318,0.0009252737509086728,0.05,0.0002,22.368636289999998,176.92,0.0,0.0
351000,4.335049152374268,0.5568902492523193,5.544620990753174,2.780996561050415,0.09418106079101562,0.9014540910720825,0.11718998104333878,0.05,0.0002,22.406741620000002,179.27,0.01,0.0
352000,4.3507466316223145,0.48927798867225647,5.635180473327637,2.8414390087127686,0.09069529920816422,0.902966320514679,0.23027300834655762,0.05,0.0002,22.439471729999994,181.86,0.01,0.0
353000,4.4121527671813965,0.5210090279579163,5.634015083312988,2.3129615783691406,0.1536126285791397,1.3171346187591553,0.0011948209721595049,0.05,0.0002,22.423709159999998,184.49,0.01,0.0
354000,4.3363471031188965,0.5343180894851685,5.562546253204346,2.8891820907592773,0.15425755083560944,1.3461482524871826,0.00134261604398489,0.05,0.0002,22.88774493,182.89,0.01,0.0
355000,4.378770351409912,0.5697703957557678,5.701383113861084,2.063344717025757,0.09198682010173798,0.9596712589263916,0.002187122590839863,0.05,0.0002,22.876778599999998,182.01,0.0,0.0
356000,4.354493618011475,0.5851002931594849,5.744868278503418,2.0870261192321777,0.09352657198905945,0.9446794986724854,0.0017506680451333523,0.05,0.0002,22.89146376,193.36,0.0,0.0
357000,4.415143966674805,0.5387201905250549,5.667169570922852,1.9862136840820312,0.09091921150684357,0.9524090886116028,0.0015513055259361863,0.05,0.0002,23.411316689999992,200.22,0.0,0.0
358000,4.415810585021973,0.6225272417068481,5.833406925201416,2.68391752243042,0.09495850652456284,0.9617300629615784,0.0014060921967029572,0.05,0.0002,23.434546960000002,202.48,0.0,0.0
359000,4.431055068969727,0.5377926826477051,5.773609161376953,2.8146414756774902,0.1450406014919281,1.3014271259307861,0.0012055016122758389,0.05,0.0002,23.471519550000004,207.17,0.0,0.0
360000,4.3232526779174805,0.6021281480789185,5.858516216278076,2.362422466278076,0.09270329028367996,0.9194653630256653,0.0015066510532051325,0.05,0.0002,23.49138635,206.49,0.01,0.0
361000,4.396961688995361,0.6013548374176025,5.848977565765381,2.7652738094329834,0.03679405152797699,0.036394063383340836,0.0018863732693716884,0.05,0.0002,23.450582599999997,205.84,0.01,0.0
362000,4.377790927886963,0.5809859037399292,6.019865036010742,2.7778658866882324,0.04289716109633446,0.04529869556427002,0.0015111432876437902,0.05,0.0002,23.953703860000005,205.13,0.0,0.0
363000,4.451415061950684,0.5510088205337524,5.813697814941406,2.9850144386291504,0.14435435831546783,1.755669116973877,0.0008390173316001892,0.05,0.0002,23.890287620000002,201.29,0.0,0.0
364000,4.423573970794678,0.5530917644500732,5.698823928833008,2.0719432830810547,0.09157465398311615,0.9275556206703186,0.22077320516109467,0.05,0.0002,23.905515910000005,208.28,0.01,0.0
365000,4.481031894683838,0.590553343296051,5.860631942749023,2.7320001125335693,0.0986945778131485,0.9425495266914368,0.0015147814992815256,0.05,0.0002,23.869582809999997,204.59,0.01,0.0
366000,4.4649224281311035,0.5645305514335632,5.807906627655029,2.214796543121338,0.08933514356613159,0.9168258905410767,0.0015082466416060925,0.05,0.0002,23.89921222,208.39,0.0,0.0
367000,4.359843730926514,0.6305856704711914,5.930869102478027,2.0879969596862793,0.21184197068214417,1.6297767162322998,0.10878486931324005,0.05,0.0002,23.94138019,212.14,0.0,0.0
368000,4.456191062927246,0.6025194525718689,5.900221347808838,2.89505672454834,0.15348602831363678,1.367719054222107,0.0015518534928560257,0.05,0.0002,23.906688849999995,210.78,0.01,0.0
369000,4.4388346672058105,0.5614767074584961,5.921017169952393,2.834110736846924,0.08253882825374603,0.8776342272758484,0.001008284860290587,0.05,0.0002,23.46183678,210.41,0.0,0.0
370000,4.451928615570068,0.5762956142425537,6.038537502288818,2.906135082244873,0.14172092080116272,1.2389488220214844,0.0013340925797820091,0.05,0.0002,23.49230676,211.54,0.0,0.0
371000,4.550161838531494,0.5998285412788391,6.032051086425781,2.8793249130249023,0.08911016583442688,0.9072349071502686,0.0013280462007969618,0.05,0.0002,22.96313199,209.11,0.01,0.0
372000,4.5469841957092285,0.6088455319404602,5.999602317810059,2.0446665287017822,0.08917517960071564,0.9263527393341064,0.0012129752431064844,0.05,0.0002,22.44132239,207.17,0.0,0.0
373000,4.536559104919434,0.630108118057251,5.951638698577881,2.0616822242736816,0.09132741391658783,0.8833141326904297,0.0017821632791310549,0.05,0.0002,21.97879476,205.44,0.01,0.0
374000,4.548624515533447,0.640988290309906,6.030055046081543,2.3159756660461426,0.099592424929142,0.9463977217674255,0.1076415404677391,0.05,0.0002,21.91316704000001,202.27,0.01,0.0
375000,4.479522228240967,0.6030130386352539,5.965212345123291,1.860743522644043,0.0921514630317688,0.8861237168312073,0.2243073433637619,0.05,0.0002,20.96339742,205.0,0.0,0.0
376000,4.424956798553467,0.6523543000221252,6.046222686767578,2.892612934112549,0.098783940076828,0.9177061915397644,0.0012480698060244322,0.05,0.0002,20.03603595,188.05,0.01,0.0
377000,4.549535751342773,0.6591236591339111,6.1052350997924805,2.9725968837738037,0.03731323778629303,0.04635417088866234,0.0013151154853403568,0.05,0.0002,20.03066746,181.32,0.01,0.0
378000,4.569921016693115,0.6683095693588257,6.001956462860107,1.920067310333252,0.08897512406110764,0.8866332173347473,0.1099362000823021,0.05,0.0002,20.034801369999997,181.85,0.0,0.0
379000,4.500898361206055,0.6287237405776978,6.018627166748047,1.9556337594985962,0.09435419738292694,0.9283480048179626,0.0019290534546598792,0.05,0.0002,20.00246152,189.94,0.01,0.0
380000,4.492649555206299,0.625819206237793,6.091518878936768,2.3360579013824463,0.14577846229076385,1.8454582691192627,0.32028719782829285,0.05,0.0002,19.98956158,191.53,0.01,0.0
381000,4.539463520050049,0.6602674722671509,6.2372846603393555,3.012517213821411,0.035914577543735504,0.04204739257693291,0.0015142069896683097,0.05,0.0002,19.988724630000004,194.45,0.01,0.0
382000,4.602062702178955,0.7154040336608887,6.265412330627441,2.0118749141693115,0.14386039972305298,1.2222803831100464,0.4460282623767853,0.05,0.0002,19.54456115,196.08,0.0,0.01
383000,4.578503608703613,0.6281723976135254,6.407747268676758,3.0022475719451904,0.14623066782951355,1.3050271272659302,0.11713908612728119,0.05,0.0002,19.580478549999995,188.01,0.0,0.0
384000,4.545683860778809,0.6834859251976013,6.376996040344238,1.9660232067108154,0.09056183695793152,0.8862010836601257,0.002175391186028719,0.05,0.0002,20.03147214,188.36,0.0,0.0
385000,4.631195068359375,0.7595044374465942,6.364068984985352,2.0305240154266357,0.20345476269721985,1.5234296321868896,0.0017735302681103349,0.05,0.0002,20.00335955,184.96,0.01,0.0
386000,4.566410064697266,0.6675335764884949,6.404923915863037,2.980578899383545,0.09596818685531616,0.8941032886505127,0.2236371487379074,0.05,0.0002,19.54225332,182.47,0.0,0.0
387000,4.588863372802734,0.6750732064247131,6.227937698364258,2.9939260482788086,0.04014693200588226,0.058275144547224045,0.0011415521148592234,0.05,0.0002,19.527962560000002,189.8,0.01,0.0
388000,4.581807613372803,0.7409875392913818,6.339958190917969,2.022656202316284,0.1451316475868225,1.2444630861282349,0.22002482414245605,0.05,0.0002,19.56309363,189.19,0.01,0.0
